# Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Short-wave irradiation
31/05/1990,299.06,87.4,1008.47,1.66,230.12,347.544288,116560.8
30/06/1990,298.61,86.67,1010.03,1.93,223.98,210.725568,115563.6
31/07/1990,297.73,86.48,1010.41,2.41,228.13,270.58284,134237.6
31/08/1990,297.88,85.31,1010.75,2.36,233.53,265.699368,135033.6
30/09/1990,298.03,86.53,1009.5,2.09,234.99,335.239236,123263.4
31/10/1990,298.47,86.97,1008.61,1.56,225.91,357.506244,122542.9
30/11/1990,299.05,85.95,1007.73,1.28,225.8,188.957592,120252.9
31/12/1990,298.73,86.33,1007.41,1.23,237.48,148.115952,115199.9
31/01/1991,298.73,77.64,1007.84,0.48,263.92,21.158608,151567.7
28/02/1991,299.75,84.55,1007.43,1.81,234.75,122.874696,110777.8
31/03/1991,299.96,84.49,1006.13,1.73,224.8,164.506932,128736.3
30/04/1991,299.24,86.42,1007.05,1.73,221.79,190.40346,119109.5
31/05/1991,299.29,86.58,1007.73,1.6,229.22,376.2882,125498.5
30/06/1991,298.73,87.64,1009.4,1.91,228.49,397.05408,122320.1
31/07/1991,297.61,88.42,1010.73,2.24,221.92,237.944088,132903.7
31/08/1991,297.55,86.46,1011.16,2.41,227.86,220.258728,139843.8
30/09/1991,298.21,86.02,1010,2.29,229.27,257.28642,139542.9
31/10/1991,297.87,87.39,1008.9,1.92,236.74,461.35152,120160.6
30/11/1991,299.15,84.22,1007.87,1.42,233.57,672.68016,129792.6
31/12/1991,297.88,73.61,1007.98,0.89,344.49,45.019296,144902.8
31/01/1992,297.58,73.39,1007.91,0.45,327.04,19.378516,161774.4
28/02/1992,299.5,69.04,1007.76,0.61,288.78,14.426554,157660.6
31/03/1992,300.03,83.23,1006.36,1.62,225.66,181.71792,139312.2
30/04/1992,299.77,86.04,1007.02,1.74,218.67,216.797112,119721.7
31/05/1992,299.12,87.9,1007.94,1.7,224.79,340.032528,113534.6
30/06/1992,298.09,88.09,1010,2.24,221.01,373.7286,128675.9
31/07/1992,296.97,90.28,1011.42,2.44,225.05,320.498856,122605.5
31/08/1992,296.79,87.68,1011.77,2.61,222.64,124.200684,161334.9
30/09/1992,297.4,89.04,1009.19,2.13,228.54,424.5894,127892.7
31/10/1992,298.05,89.38,1009.06,1.76,235.23,381.26052,112020.2
30/11/1992,298.07,83.61,1007.89,0.57,258.13,177.425496,127126.6
31/12/1992,298.27,76.84,1007.95,0.54,314.4,36.031464,148837.7
31/01/1993,297.39,71.9,1008.62,1.13,356.83,23.335232,165186.6
28/02/1993,299.65,77.27,1007.31,1.33,237.38,69.73884,137408.3
31/03/1993,299.18,83.02,1007.7,1.51,230.12,183.906288,119240
30/04/1993,299.46,87.05,1006.69,1.66,221.14,193.349196,105997.1
31/05/1993,299.42,87.55,1007.36,1.84,220.17,245.457144,120477.6
